seed,interpretation_guard,invariants.all_accounts_have_exactly_r_exposures,invariants.loo_histograms_have_size_29,invariants.same_reference_used_for_original_and_loo,invariants.scored_review_removed_from_attack_and_clean_worlds,invariants.stage4_attack_world_reused_without_modification,invariants.stage4_r8_identity_assignment_reused_without_modification,metrics.fraction_accounts_loo_score_positive,metrics.loo_matched_twin_auc,metrics.loo_mean_paired_gap,metrics.loo_misordering_probability,metrics.mean_direct_self_component,metrics.median_direct_self_component,metrics.original_matched_twin_auc,metrics.original_mean_paired_gap,metrics.original_misordering_probability,metrics.pearson_original_vs_loo_score,metrics.retained_mean_gap_fraction,metrics.spearman_original_vs_loo_score,population.exposures_per_account,population.n_exposures,population.n_synthetic_accounts,source_stage4.attack_world_sha256,source_stage4.modified_ratings_k,source_stage4.n_items,source_stage4.reuse_r,source_stage4.selected_lambda,stage,_source_member
0,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7846666666666666,0.7846666666666666,0.6428770694484691,0.21533333333333332,-0.02558850161654841,-0.02464862103334453,0.74,0.6172885678319207,0.26,0.9909432994546873,1.0414530625545553,0.9898967327788829,8,12000,1500,e6c1e331e091a817f66b33f292874fcd8a769bc71e7390eb90d30b0bf6aee327,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_000/summary.json
1,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.754,0.754,0.621491362833578,0.246,-0.031273203099608064,-0.03696536210822182,0.712,0.5902181597339698,0.288,0.9924598231759678,1.052985836819565,0.9912949815641265,8,12000,1500,d2a6af13ef9520fb43cb4748fb4123dcd5b503fb6643a89b4e3aeb95a816bc2c,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_001/summary.json
2,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.74,0.74,0.5510583027367515,0.26,-0.045681206087427824,-0.0485817455570272,0.716,0.5053770966493236,0.284,0.9913680421857775,1.0903903370182317,0.9893098941275004,8,12000,1500,995a0e15147a97cf6b3e60c3fc7dcb1533e16598b92a731e212ffcc80050bafd,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_002/summary.json
3,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.774,0.774,0.6337589345610295,0.226,-0.03308699819126926,-0.0343205546073444,0.732,0.6006719363697602,0.268,0.9910882272623514,1.0550833095203929,0.9905512004107495,8,12000,1500,5f4fbb438e098d7766a856b00cd993ed76b8fe654b56bbd5fe62662277f6e3ed,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_003/summary.json
4,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7186666666666667,0.7186666666666667,0.560261304530067,0.2813333333333333,-0.036515783731976094,-0.03495581884399068,0.672,0.5237455207980909,0.328,0.9932087767779352,1.069720469735632,0.9926053452938344,8,12000,1500,08dd949cbdb1c4e3b3d3266926dbe48f624fcc8a4354b44ecb035c37e4106d33,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_004/summary.json
5,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.824,0.824,0.6885556621763187,0.176,-0.02012873575830836,-0.018821572379655205,0.792,0.6684269264180103,0.208,0.9900789304714622,1.030113592021457,0.9858483446401016,8,12000,1500,23d700135575dfbd5c83cfde34a984fed7d849ea6140ccbc0d2c6bfe867de354,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_005/summary.json
6,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7486666666666667,0.7486666666666667,0.6411821513521547,0.25133333333333335,-0.03393325305507734,-0.03294391074504191,0.724,0.6072488982970774,0.276,0.992437859848067,1.0558803040239961,0.9920698235247137,8,12000,1500,86f006f6dbdd0a64a22efa5ddc7f1cd635c52aa2096589a99f6d94e348be2512,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_006/summary.json
7,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.7366666666666667,0.7366666666666667,0.6563170384204363,0.2633333333333333,-0.020529308181441705,-0.02277680180173086,0.708,0.6357877302389946,0.292,0.9915906766192037,1.032289563332285,0.9915177443054625,8,12000,1500,b7b6848423d687d84a8d07817fe8b2e0daa74eec1616a79e9b05c2ef7184685b,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_007/summary.json
8,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.8013333333333333,0.8013333333333333,0.7588373624266163,0.19866666666666666,-0.01775489061308111,-0.014942528735632093,0.78,0.7410824718135351,0.22,0.9922006687965862,1.0239580495941731,0.9912177729507474,8,12000,1500,1645ad95fffcbaaf8f94ba227fd596b930056ef3ac236f5ed458f8eacf694b6b,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_008/summary.json
9,"Stage 11 is an offline diagnostic, not the deployable online score. Each scored synthetic account's own review is removed from both attacked and clean worlds before recomputing paired evidence.",True,True,True,True,True,True,0.776,0.776,0.6801040626318944,0.224,-0.016006476045573096,-0.013948997294313759,0.744,0.6640975865863213,0.256,0.9919894419882486,1.024102596318489,0.9915571624608737,8,12000,1500,8c91d53e1fa59d7c5c05b126d5f74527d0a264ab0e1f41d1d3ec529f16d64191,6,2000,8,20.0,amazon_stage11_leave_one_out_self_influence,stage11_self_influence_loo/seed_009/summary.json
