seed,interpretation_guard,matching.block_pairwise_exact,matching.frequency_exact,matching.item_set_pairwise_exact,matching.only_difference,matching.slot_position_pairwise_exact,matching.source_line_pairwise_exact,matching.timestamp_pairwise_exact_via_same_source_slot,metrics.counterfactual_score_auc,metrics.expected_total_m_times_sum_dcf,metrics.frequency_auc,metrics.mean_d_cf,metrics.mean_paired_score_gap,metrics.paired_gap_nonpositive_fraction,metrics.paired_gap_positive_fraction,metrics.paired_predictive_misordering_probability,metrics.paired_raw_misordering_probability,metrics.predicted_mean_gap_r_times_mean_dcf,metrics.predictive_centered_world_score_auc,metrics.raw_world_score_auc,metrics.reuse_law_abs_error,metrics.total_gap_conservation_abs_error,metrics.total_paired_gap,n_edges_per_group,n_pairs,reuse_r,selected_lambda,stage,stage4_attack_world_sha256,_source_member
0,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.74,925.9328517478812,0.5,0.0771610709789901,0.6172885678319208,0.26,0.74,0.26,0.26,0.6172885678319208,0.758288,0.75144,0.0,0.0,925.9328517478812,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,e6c1e331e091a817f66b33f292874fcd8a769bc71e7390eb90d30b0bf6aee327,stage5/seed_000/summary.json
1,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.712,885.327239600955,0.5,0.07377726996674625,0.5902181597339698,0.288,0.712,0.288,0.288,0.59021815973397,0.729264,0.727344,1.1102230246251565e-16,2.2737367544323206e-13,885.3272396009547,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,d2a6af13ef9520fb43cb4748fb4123dcd5b503fb6643a89b4e3aeb95a816bc2c,stage5/seed_001/summary.json
2,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.716,758.0656449739855,0.5,0.06317213708116545,0.5053770966493236,0.284,0.716,0.284,0.284,0.5053770966493236,0.716112,0.70632,0.0,1.1368683772161603e-13,758.0656449739854,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,995a0e15147a97cf6b3e60c3fc7dcb1533e16598b92a731e212ffcc80050bafd,stage5/seed_002/summary.json
3,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.732,901.0079045546404,0.5,0.07508399204622003,0.6006719363697602,0.268,0.732,0.268,0.268,0.6006719363697602,0.74776,0.741248,0.0,1.1368683772161603e-13,901.0079045546403,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,5f4fbb438e098d7766a856b00cd993ed76b8fe654b56bbd5fe62662277f6e3ed,stage5/seed_003/summary.json
4,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.672,785.6182811971363,0.5,0.06546819009976136,0.5237455207980908,0.328,0.672,0.328,0.328,0.5237455207980909,0.708656,0.704976,1.1102230246251565e-16,1.1368683772161603e-13,785.6182811971362,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,08dd949cbdb1c4e3b3d3266926dbe48f624fcc8a4354b44ecb035c37e4106d33,stage5/seed_004/summary.json
5,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.792,1002.6403896270153,0.5,0.08355336580225128,0.6684269264180102,0.208,0.792,0.208,0.208,0.6684269264180103,0.778704,0.768272,1.1102230246251565e-16,1.1368683772161603e-13,1002.6403896270152,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,23d700135575dfbd5c83cfde34a984fed7d849ea6140ccbc0d2c6bfe867de354,stage5/seed_005/summary.json
6,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.724,910.8733474456161,0.5,0.07590611228713467,0.6072488982970775,0.276,0.724,0.276,0.276,0.6072488982970774,0.753072,0.745344,1.1102230246251565e-16,1.1368683772161603e-13,910.8733474456162,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,86f006f6dbdd0a64a22efa5ddc7f1cd635c52aa2096589a99f6d94e348be2512,stage5/seed_006/summary.json
7,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.708,953.6815953584918,0.5,0.07947346627987431,0.6357877302389946,0.292,0.708,0.292,0.292,0.6357877302389945,0.762976,0.754848,1.1102230246251565e-16,1.1368683772161603e-13,953.6815953584919,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,b7b6848423d687d84a8d07817fe8b2e0daa74eec1616a79e9b05c2ef7184685b,stage5/seed_007/summary.json
8,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.78,1111.6237077203027,0.5,0.0926353089766919,0.741082471813535,0.22,0.78,0.22,0.22,0.7410824718135351,0.802176,0.79512,1.1102230246251565e-16,2.2737367544323206e-13,1111.6237077203025,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,1645ad95fffcbaaf8f94ba227fd596b930056ef3ac236f5ed458f8eacf694b6b,stage5/seed_008/summary.json
9,"This is an exact counterfactual matched-twin experiment. It does not claim that the synthetic control identities are historical Amazon accounts. Their underlying clean actions, item contexts, positions, timestamps, and ratings are real; only identity labels are regrouped to create exact matched activity.",True,True,True,coalition member occupies attacked version of the slot; control twin occupies exact clean counterpart,True,True,True,0.744,996.146379879482,0.5,0.08301219832329017,0.6640975865863212,0.256,0.744,0.256,0.256,0.6640975865863213,0.771392,0.762752,1.1102230246251565e-16,1.1368683772161603e-13,996.1463798794819,12000,1500,8,20.0,amazon_stage5_exact_matched_twins_r8,8c91d53e1fa59d7c5c05b126d5f74527d0a264ab0e1f41d1d3ec529f16d64191,stage5/seed_009/summary.json
